# Scene precison and perplexity along time
0.80,10.72
0.80,11.10
0.79,11.53
0.78,11.97
0.78,12.46
0.77,12.88
0.76,13.24
0.76,12.60
0.81,11.05
0.93,6.26
0.94,5.73
0.93,6.31
0.92,6.97
0.89,7.35
0.87,7.75
0.84,7.95
0.82,8.06
0.82,8.14
0.83,8.39
0.84,8.42
0.86,8.36
0.88,8.34
0.90,8.19
0.92,8.14
0.93,7.84
0.94,7.66
0.95,7.47
0.95,7.40
0.95,6.85
0.95,6.71
0.95,6.67
0.95,6.58
0.95,6.46
0.95,6.29
0.95,6.28
0.95,6.24
0.95,6.19
0.95,6.03
0.94,5.77
0.94,5.51
0.94,5.15
0.93,4.63
0.92,4.12
0.92,3.81
0.92,3.72
0.92,3.64
0.92,3.57
0.93,3.66
0.93,3.79
0.93,3.90
0.93,3.88
0.93,3.83
0.94,3.99
0.94,4.13
0.95,4.28
0.95,4.50
0.95,4.62
0.95,4.54
0.95,4.44
0.94,4.34
0.94,4.34
0.94,4.39
0.94,4.23
0.94,4.13
0.93,4.02
0.93,3.83
0.93,3.72
0.93,3.76
0.93,3.95
0.93,4.11
0.94,4.24
0.94,4.38
0.93,4.55
0.93,4.74
0.92,4.99
0.91,5.33
0.90,5.76
0.90,5.86
0.92,5.85
0.93,5.84
0.94,5.84
0.94,5.79
0.95,5.74
0.96,5.68
0.96,5.57
0.96,5.40
0.95,5.12
0.95,5.09
0.95,5.14
0.95,5.15
0.95,5.07
0.95,5.02
0.95,4.88
0.95,4.78
0.95,4.63
0.95,4.47
0.95,4.41
0.95,4.42
0.95,4.37
0.95,4.37
0.95,4.53
0.95,4.72
0.95,4.87
0.95,4.92
0.96,6.07
0.96,7.06
0.96,7.51
0.95,8.33
0.94,8.45
0.94,8.60
0.94,8.67
0.93,8.68
0.92,8.77
0.91,8.90
0.92,8.11
0.93,7.28
0.93,7.01
0.92,7.36
0.87,10.30
0.87,10.64
0.88,10.61
0.88,10.56
0.88,10.53
0.88,10.49
0.88,10.46
0.88,10.45
0.87,10.33
0.89,9.44
0.94,6.11
0.95,5.45
0.95,5.58
0.95,5.77
0.95,5.96
0.95,6.18
0.94,6.32
0.94,6.50
0.94,6.80
0.93,7.01
0.93,7.11
0.93,7.02
0.94,6.92
0.94,6.85
0.93,6.93
0.91,7.01
0.90,7.07
0.90,6.98
0.90,6.89
0.91,6.81
0.91,6.62
0.91,6.52
0.92,6.46
0.92,6.40
0.92,6.40
0.92,6.46
0.92,6.64
0.90,6.87
0.89,7.05
0.87,7.25
0.84,7.58
0.82,7.87
0.80,8.08
0.78,8.23
0.77,8.28
0.76,8.28
0.76,8.27
0.77,8.29
0.77,8.35
0.77,8.43
0.76,8.45
0.76,8.48
0.75,8.51
0.74,8.57
0.74,8.61
0.73,8.66
0.73,8.71
0.72,8.69
0.73,8.67
0.73,8.64
0.74,8.70
0.75,8.77
0.76,8.85
0.78,8.88
0.79,8.80
0.79,8.64
0.78,8.51
0.77,8.53
0.76,8.56
0.75,8.62
0.75,8.76
0.75,8.86
0.74,8.82
0.74,8.79
0.74,8.80
0.74,8.80
0.74,8.79
0.74,8.75
0.74,8.75
0.75,8.91
0.76,8.96
0.77,8.99
0.78,8.97
